set4_id,DataVizRoles_collapsed,YearsDataVizExperience_buckets,DataVizCentralityFreelance,ToolsChoiceFreelance,ToolsUnchoiceProblemsFreelance_,ToolsUnchoiceProblemsFreelance_PoorCustomization,ToolsUnchoiceProblemsFreelance_MisfitForTask,ToolsUnchoiceProblemsFreelance_CostsAndOrLicenseIssues,ToolsUnchoiceProblemsFreelance_PerformanceIssues,ToolsUnchoiceProblemsFreelance_HardToLearn,ToolsUnchoiceProblemsFreelance_CannotIntegrateWithOtherTools,ToolsUnchoiceProblemsFreelance_SharingLimits,ToolsUnchoiceProblemsFreelance_SecurityOrGovernance,ToolsUnchoiceProblemsFreelance_PoorUXUIAccessibility,ToolsUnchoiceProblemsFreelance_PoorSupportOrPoorDocumentation,ToolsUnchoiceProblemsFreelance_Other__,DataVizCentralityEmployee,ToolsChoiceEmployee,ToolsUnchoiceProblemsEmployee_,ToolsUnchoiceProblemsEmployee_PoorCustomization,ToolsUnchoiceProblemsEmployee_MisfitForTask,ToolsUnchoiceProblemsEmployee_CostsAndOrLicenseIssues,ToolsUnchoiceProblemsEmployee_PerformanceIssues,ToolsUnchoiceProblemsEmployee_HardToLearn,ToolsUnchoiceProblemsEmployee_CannotIntegrateWithOtherTools,ToolsUnchoiceProblemsEmployee_SharingLimits,ToolsUnchoiceProblemsEmployee_SecurityOrGovernance,ToolsUnchoiceProblemsEmployee_PoorUXUIAccessibility,ToolsUnchoiceProblemsEmployee_PoorSupportOrPoorDocumentation,ToolsUnchoiceProblemsEmployee_Other__,OrgIndustry_,OrgIndustry_Finance,OrgIndustry_HealthMed,OrgIndustry_IT,OrgIndustry_Journalism,OrgIndustry_Marketing,OrgIndustry_ConsultantMulti,OrgIndustry_Other__,OrgSize,ChartsUsed_,ChartsUsed_Line,ChartsUsed_Bar,ChartsUsed_PieOrDonut,ChartsUsed_Scatterplot,ChartsUsed_Histogram,ChartsUsed_Boxplot,ChartsUsed_DotPlot,ChartsUsed_Hexbin,ChartsUsed_Heatmap,ChartsUsed_Infographic,ChartsUsed_Pictorial,ChartsUsed_Treemap,ChartsUsed_Dendrogram,ChartsUsed_Network,ChartsUsed_Waffle,ChartsUsed_Flow,ChartsUsed_3D,ChartsUsed_VRorAR,ChartsUsed_BeeSwarm,ChartsUsed_ForceDirected,ChartsUsed_ChoroplethMap,ChartsUsed_OtherGeospatialMap,ChartsUsed_Other__,AI_DataViz_Use,AI_DataViz_Tasks_,AI_DataViz_Tasks_combined,AI_DataViz_Tasks_Prep,AI_DataViz_Tasks_Analysis,AI_DataViz_Tasks_Storyboarding,AI_DataViz_Tasks_Visualizations,AI_DataViz_Tasks_VizTasksTeams,AI_DataViz_Tasks_Other,AI_DataViz_Workflow__,ToolsFreq_,ToolsFreq_ArcGIS,ToolsFreq_Canva,ToolsFreq_Canvas,ToolsFreq_D3,ToolsFreq_Datawrapper,ToolsFreq_Excel,ToolsFreq_Figma,ToolsFreq_Flourish,ToolsFreq_ggplot2,ToolsFreq_Gephi,ToolsFreq_GoogleDataStudio,ToolsFreq_GoogleSheets,ToolsFreq_Highcharts,ToolsFreq_Illustrator,ToolsFreq_Leaflet,ToolsFreq_Looker,ToolsFreq_Mapbox,ToolsFreq_Matplotlib,ToolsFreq_Observable,ToolsFreq_P5orProcessing,ToolsFreq_PenPaper,ToolsFreq_PhysicalMaterials,ToolsFreq_Plotly,ToolsFreq_PowerBI,ToolsFreq_PowerPoint,ToolsFreq_Python,ToolsFreq_QGIS,ToolsFreq_Qlik,ToolsFreq_R,ToolsFreq_RAWGraphs,ToolsFreq_React,ToolsFreq_Svelte,ToolsFreq_Tableau,ToolsFreq_Vega,ToolsFreq_Vue,ToolsFreq_WebComponents,ToolsFreq_WebGL,Tools_Other__,ToolsLiking_TopThree__,AudienceFreelance_,AudienceFreelance_Public,AudienceFreelance_Analysts,AudienceFreelance_Engineers,AudienceFreelance_Scientists,AudienceFreelance_Medical,AudienceFreelance_ProdProjManagers,AudienceFreelance_PolicyMakers,AudienceFreelance_Execs,AudienceFreelance_Designers,AudienceFreelance_Researchers,AudienceFreelance_Students,AudienceFreelance_Educators,AudienceFreelance_AdminPersonnel,AudienceFreelance_DataVizEnthusiasts,AudienceFreelance_Self,AudienceFreelance_Other__,AudienceEmployee_,AudienceEmployee_Public,AudienceEmployee_Analysts,AudienceEmployee_Engineers,AudienceEmployee_Scientists,AudienceEmployee_Medical,AudienceEmployee_ProdProjManagers,AudienceEmployee_PolicyMakers,AudienceEmployee_Execs,AudienceEmployee_Designers,AudienceEmployee_Researchers,AudienceEmployee_Students,AudienceEmployee_Educators,AudienceEmployee_AdminPersonnel,AudienceEmployee_DataVizEnthusiasts,AudienceEmployee_Self,AudienceEmployee_Other__,DataVizSharingChannels_,DataVizSharingChannels_EmbeddedInTool,DataVizSharingChannels_Dashboard,DataVizSharingChannels_Scrollytelling,DataVizSharingChannels_StaticWebPage,DataVizSharingChannels_InteractiveNotebook,DataVizSharingChannels_DocumentOrReport,DataVizSharingChannels_Presentations,DataVizSharingChannels_Email,DataVizSharingChannels_NewspaperorMagazine,DataVizSharingChannels_PeerReviewedJournal,DataVizSharingChannels_PrintedOnPaper,DataVizSharingChannels_OtherPhysicalMedium,DataVizSharingChannels_VRorAR,DataVizSharingChannels_Installation,DataVizSharingChannels_App,DataVizSharingChannels_Video,DataVizSharingChannels_SocialMedia,DataVizSharingChannels_Other__
URFe,Employee,1-5,[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Data visualization is the primary focus of my job.,We have a set list of tools we’re expected to use for data visualization and this causes some problems.,10,x,x,x,x,x,x,x,x,x,x,[^not chosen],2,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],Aerospace,"5,000+ employees",15,x,x,x,x,x,x,x,x,x,x,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],x,x,[^not chosen],x,x,[^not chosen],Yes,1,Analysis,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],22,Rarely,Never,Often,Sometimes,Never,Often,Often,Never,Sometimes,Never,Never,Often,Rarely,Never,Never,Never,Rarely,Sometimes,Often,Rarely,Often,Never,Rarely,Never,Often,Often,Never,Never,Rarely,Never,Often,Sometimes,Never,Never,Rarely,Often,Often,[^not answered],[^not answered],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],9,x,x,x,x,[^not chosen],x,x,x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],8,x,[^not chosen],[^not chosen],x,[^not chosen],x,x,x,[^not chosen],x,[^not chosen],[^not chosen],x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen]
aOWX,EmployeeANDFreelanceAND,6-10,"Data visualization is an important secondary part of my freelance work, but not the primary focus.",I’m able to choose my own tools.,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],"Data visualization is an important secondary part of my job, but not the primary focus.",We have a set list of tools we’re expected to use for data visualization and this causes major problems.,9,x,x,x,x,[^not chosen],x,x,x,x,x,[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Higher Education,"1,000–4,999 employees",7,x,x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],No,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],12,Never,Rarely,Never,Never,Never,Often,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Sometimes,Rarely,Never,Rarely,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Sometimes,Never,Never,Never,Never,[^not answered],Tableau,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],8,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],x,x,x,[^not chosen],[^not chosen],[^not chosen],x,x,[^not chosen],x,Service Managers,3,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen]
ggnG,Freelance,6-10,[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],"Data visualization is an important secondary part of my job, but not the primary focus.",We have a set list of tools we’re expected to use for data visualization and this causes some problems.,9,x,x,x,x,x,x,x,[^not chosen],x,x,[^not chosen],2,[^not chosen],[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",11,x,x,[^not chosen],x,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],x,[^not chosen],x,x,x,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],x,x,[^not chosen],No,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],25,Never,Never,Rarely,Sometimes,Sometimes,Never,Rarely,Sometimes,Rarely,[^not chosen],Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,Often,Rarely,Never,Rarely,Never,Never,Sometimes,Often,Never,Rarely,Rarely,Often,Never,Never,Never,Sometimes,Often,Sometimes,[^not answered],Qgis; d3; observable;,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],3,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,x,[^not chosen],[^not chosen],6,x,x,x,x,x,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen]
ATKe,FreelanceAND,16-20,[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],"Data visualization is an important secondary part of my job, but not the primary focus.",We have a set list of tools we’re expected to use for data visualization and this causes some problems.,9,x,x,x,x,x,x,x,x,x,[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],100–499 employees,4,x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Yes,1,Prep,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Writing better code,15,Never,Rarely,Never,Never,Rarely,Often,Sometimes,Never,Never,Never,Often,Often,Never,Rarely,Never,Often,Never,Never,Never,Never,Rarely,Rarely,Never,Sometimes,Often,Sometimes,Never,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,[^not answered],Illustrator; RawGraphs; PowerPoint,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],4,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Marketers,4,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],x,x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen]
bDAh,Academic,6-10,[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role.",We have a set list of tools we’re expected to use for data visualization and this causes some problems.,9,x,x,x,x,x,x,x,[^not chosen],x,x,[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],100–499 employees,12,x,x,x,x,x,x,[^not chosen],[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,x,[^not chosen],[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],No,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],14,Never,Sometimes,Never,Never,Never,Often,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Often,Sometimes,Never,Sometimes,Often,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,Sometimes,Never,Never,Never,Never,[^not answered],Excel; Tableau; Flourish,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],7,x,x,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,x,[^not chosen],8,x,x,x,x,[^not chosen],x,x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen]
Oxph,EmployeeAND,1-5,[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role.",We have a set list of tools we’re expected to use for data visualization and this causes some problems.,8,x,x,x,x,x,[^not chosen],[^not chosen],x,x,x,[^not chosen],1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",6,x,x,x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],No,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],8,Sometimes,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Sometimes,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,SAP Business Objects; SAS Viya; Visual Basic for Applications (VBA),SAP Business Objects; SAS Viya; Visual Basic for Applications (VBA),0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],3,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],4,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],x,x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen]
DImT,Employee,1-5,[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Data visualization is the primary focus of my job.,We have a set list of tools we’re expected to use for data visualization and this causes some problems.,8,x,x,x,x,x,x,x,[^not chosen],[^not chosen],x,[^not chosen],1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],500–999 employees,16,x,x,x,x,x,[^not chosen],x,[^not chosen],x,x,x,x,[^not chosen],x,x,x,[^not chosen],[^not chosen],x,[^not chosen],x,[^not chosen],Proportion plot; Venn diagram,No,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],13,Rarely,Sometimes,Never,Never,Sometimes,Often,Never,Never,Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Often,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Dundas BI; MySidewalk,ggplot2; Excel; Canva,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],9,x,x,[^not chosen],x,x,x,x,x,[^not chosen],x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],8,[^not chosen],x,[^not chosen],x,[^not chosen],x,x,x,[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen]
lgJG,EmployeeANDFreelance,1-5,[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role.",We have a set list of tools we’re expected to use for data visualization and this causes major problems.,7,x,x,[^not chosen],x,x,[^not chosen],x,x,x,[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],500–999 employees,7,x,x,[^not chosen],x,x,[^not chosen],x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],No,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],5,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],Tableau,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],6,[^not chosen],x,x,[^not chosen],[^not chosen],x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,x,[^not chosen],3,x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen]
FaIE,EmployeeANDFreelance,6-10,[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role.",We have a set list of tools we’re expected to use for data visualization and this causes some problems.,7,x,x,x,[^not chosen],x,x,x,[^not chosen],[^not chosen],x,[^not chosen],0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,3,x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],No,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],7,Never,Rarely,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Often,Never,Sometimes,Never,Never,Never,Never,[^not chosen],Sometimes,Never,Never,Never,Never,[^not answered],Tableau; Excel; PowerPoint,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],5,x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],5,[^not chosen],x,[^not chosen],x,[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen]
OLDs,Employee,1-5,[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],"Data visualization is an important secondary part of my job, but not the primary focus.",We have a set list of tools we’re expected to use for data visualization and this causes some problems.,7,x,x,x,x,[^not chosen],x,[^not chosen],[^not chosen],x,x,[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Statistics and analysis,100–499 employees,10,x,x,x,x,x,x,x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],No,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],3,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,[^not answered],[^not answered],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],7,x,x,[^not chosen],[^not chosen],[^not chosen],x,x,x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],3,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen]
